report;sys_time;sim_state;net_op_name;net_op_code;roaming;net_type;call_state;data_state;data_act;data_rx;data_tx;gsm_neighbors;umts_neighbors;lte_neighbors;rssi_strongest;tech;mcc;mnc;lac_tac;node_id;cid;psc_pci;rssi;rsrq;rssnr;slev;gps;accuracy;lat;long;band;arfcn;bts_psc_pci;bts_band;bts_arfcn;site_name;site_lat;site_long;cell_name;azimuth;height;tilt_mech;tilt_el;
89;20210116154211;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;NONE;4811066;2168557;0;0;3;-76;LTE;405;857;63;5318;35;210;-64;-7;262;4;1;4;22.36379194;69.83599916;1800;1444;null;null;null;null;;;null;null;null;null;null;
90;20210116154212;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;NONE;4811066;2168557;0;0;3;-76;LTE;405;857;63;5318;35;210;-64;-7;234;4;1;4;22.36380416;69.83600488;1800;1444;null;null;null;null;;;null;null;null;null;null;
91;20210116154213;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;INOUT;4811266;2168701;0;0;3;-72;LTE;405;857;63;5318;35;210;-62;-9;234;4;1;4;22.36381699;69.83600684;1800;1444;null;null;null;null;;;null;null;null;null;null;
92;20210116154214;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;NONE;4811266;2168701;0;0;3;-72;LTE;405;857;63;5318;35;210;-62;-9;224;4;1;4;22.36383031;69.83600643;1800;1444;null;null;null;null;;;null;null;null;null;null;
93;20210116154215;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;NONE;4811266;2168701;0;0;2;-72;LTE;405;857;63;5318;35;210;-59;-8;224;4;1;4;22.36384289;69.83600605;1800;1444;null;null;null;null;;;null;null;null;null;null;
94;20210116154216;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;NONE;4811266;2168701;0;0;2;-72;LTE;405;857;63;5318;35;210;-59;-8;210;4;1;4;22.36385593;69.83600604;1800;1444;null;null;null;null;;;null;null;null;null;null;
95;20210116154217;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;NONE;4811410;2168857;0;0;2;-72;LTE;405;857;63;5318;35;210;-59;-8;210;4;1;4;22.36386882;69.8360068;1800;1444;null;null;null;null;;;null;null;null;null;null;
96;20210116154218;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;INOUT;4811410;2168857;0;0;2;-79;LTE;405;857;63;5318;35;210;-67;-8;210;4;1;4;22.36388209;69.83600696;1800;1444;null;null;null;null;;;null;null;null;null;null;
97;20210116154219;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;NONE;4811410;2168857;0;0;2;-79;LTE;405;857;63;5318;35;210;-67;-8;210;4;1;4;22.36389521;69.83600595;1800;1444;null;null;null;null;;;null;null;null;null;null;
98;20210116154220;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;NONE;4811410;2168857;0;0;2;-79;LTE;405;857;63;5318;35;210;-67;-8;210;4;1;4;22.36390879;69.83600437;1800;1444;null;null;null;null;;;null;null;null;null;null;
99;20210116154221;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;NONE;4811482;2168857;0;0;3;-76;LTE;405;857;63;5318;35;210;-65;-9;280;4;1;4;22.36392263;69.83600298;1800;1444;null;null;null;null;;;null;null;null;null;null;
